time,visible_satellites,best_satellite,best_alt,best_az,best_distance
2025-05-16 09:03:00+00:00,31,STARLINK-5096,64.18765533598064,334.6004397664132,594.9390919853087
2025-05-16 09:04:00+00:00,34,STARLINK-30445,77.3014664140037,90.68426603888828,572.1438960098417
2025-05-16 09:05:00+00:00,31,STARLINK-3132,63.93874607710064,181.85501512201338,595.6316381682573
2025-05-16 09:06:00+00:00,36,STARLINK-3705,78.66630575415208,83.41503922760774,549.9561759726429
2025-05-16 09:07:00+00:00,40,STARLINK-30823,80.15099765954965,318.1646777950362,567.048500905298
2025-05-16 09:08:00+00:00,32,STARLINK-11150 [DTC],68.47670372576442,26.2678454474402,385.8425653917834
2025-05-16 09:09:00+00:00,34,STARLINK-30460,77.18217900872757,51.830341956921394,572.4874280883615
2025-05-16 09:10:00+00:00,40,STARLINK-5491,69.1438638444237,244.0679204092885,595.3214984035079
2025-05-16 09:11:00+00:00,37,STARLINK-5540,75.81095538141949,57.41732290717415,583.6795357906913
2025-05-16 09:12:00+00:00,37,STARLINK-30873,72.53701792689732,329.5513114587702,583.9062111745151
2025-05-16 09:13:00+00:00,33,STARLINK-2725,73.4856953474498,32.88491255224895,569.0331910433777
2025-05-16 09:14:00+00:00,28,STARLINK-30442,79.15361171166707,0.894171279387701,568.9744584909275
2025-05-16 09:15:00+00:00,30,STARLINK-3156,83.90000859280923,275.6333031310559,543.2070526796783
2025-05-16 09:16:00+00:00,33,STARLINK-5553,82.27421490995877,175.6437030642964,570.8982773804537
2025-05-16 09:17:00+00:00,36,STARLINK-3717,74.82445954895465,215.0722449583164,558.0133991580254
2025-05-16 09:18:00+00:00,34,STARLINK-4158,64.33165542941853,30.891814231823073,594.2289270409158
2025-05-16 09:19:00+00:00,33,STARLINK-5991,77.94735631303058,305.47969404670783,577.8844477500453
2025-05-16 09:20:00+00:00,30,STARLINK-30366,67.51057495985502,322.38408968362256,601.7793221207629
2025-05-16 09:21:00+00:00,34,STARLINK-31298,70.59117365623113,127.01298913681921,510.34060791310793
2025-05-16 09:22:00+00:00,38,STARLINK-5724,79.24167595076221,347.0892247642162,568.8683306334215
2025-05-16 09:23:00+00:00,33,STARLINK-2618,77.34792017086295,174.12055046494194,559.9858071295627
2025-05-16 09:24:00+00:00,40,STARLINK-2516,78.24829970691121,264.8831399586093,558.1398466397786
2025-05-16 09:25:00+00:00,33,STARLINK-11294 [DTC],78.55748144239344,221.32390575553555,367.2290955154079
2025-05-16 09:26:00+00:00,38,STARLINK-30310,70.27285023727308,135.1820819722953,591.193764892054
2025-05-16 09:27:00+00:00,35,STARLINK-32045,73.24765622818126,135.2522817554265,495.38154033196355
2025-05-16 09:28:00+00:00,32,STARLINK-2195,76.3129284222343,352.0180222473918,562.4804905595076
2025-05-16 09:29:00+00:00,38,STARLINK-4279,79.2051919534107,341.9765895431548,549.2190127287126
2025-05-16 09:30:00+00:00,37,STARLINK-31487,74.88471083215211,191.98706073599405,499.3449749268129
2025-05-16 09:31:00+00:00,42,STARLINK-1327,72.17097537802664,60.01315224753794,572.8463757464057
2025-05-16 09:32:00+00:00,38,STARLINK-33703,72.96165804935839,12.270392567392859,463.4574235089129
2025-05-16 09:33:00+00:00,38,STARLINK-4606,84.2930626506616,27.798109834514875,542.8210953189405
2025-05-16 09:34:00+00:00,37,STARLINK-31061,62.368092799502364,192.64602134278584,624.2876452820351
2025-05-16 09:35:00+00:00,36,STARLINK-30504,82.44496898483222,167.3890759166431,492.30768184322704
2025-05-16 09:36:00+00:00,36,STARLINK-1350,87.4737941754298,80.15008402692067,479.66363047142136
2025-05-16 09:37:00+00:00,35,STARLINK-5352,69.22000038867324,252.99565774372104,595.0732990081874
2025-05-16 09:38:00+00:00,34,STARLINK-4593,67.68087796373827,252.83247837958152,580.4780229648402
2025-05-16 09:39:00+00:00,37,STARLINK-4331,74.71059707805213,82.5586728321008,585.454414546508
2025-05-16 09:40:00+00:00,33,STARLINK-1056,74.49827065617433,232.4143659977568,490.93551129105924
2025-05-16 09:41:00+00:00,29,STARLINK-31639,76.96654235529329,83.88007211328903,487.5388251036887
2025-05-16 09:42:00+00:00,28,STARLINK-11539 [DTC],68.64378427969132,12.78033224875163,382.1945412290854
